app,type,profile,description
awscli,formula,default,"Official Amazon AWS command-line interface"
clisso,formula,work,"Get temporary credentials for cloud providers from the command-line"
cloc,formula,default,"Statistics utility to count lines of code"
dockutil,formula,default,"Tool for managing dock items"
go,formula,default,"Open source programming language to build simple/reliable/efficient software"
kubernetes-cli,formula,default,"Kubernetes command-line interface"
kubectx,formula,default,"Tool that can switch between kubectl contexts easily and create aliases"
jq,formula,default,"Lightweight and flexible command-line JSON processor"
mas,formula,default,"Mac App Store command-line interface"
minikube,formula,default,"Run a Kubernetes cluster locally"
pyenv,formula,default,"Python version management"
python3,formula,default,"Interpreted, interactive, object-oriented programming language"
terraform,formula,work,"Tool to build, change, and version infrastructure"
yq,formula,default,"Process YAML documents from the CLI"
aerial,cask,default,"Aerial Screensaver"
docker,cask,default,"Docker Desktop, Docker Community Edition, Docker CE"
google-chrome,cask,default,"Google Chrome"
google-backup-and-sync,cask,home,"Google Backup and Sync"
google-drive-file-stream,cask,work,"Google Drive File Stream"
powershell,cask,default,"Microsoft PowerShell"
steam,cask,home,"Steam"
tor-browser,cask,home,"Tor Browser"
virtualbox,cask,default,"Oracle VirtualBox"
visual-studio-code,cask,default,"Microsoft Visual Studio Code, VS Code"
boto3,pip,default,"Amazon Web Services (AWS) SDK for Python."
PyGithub,pip,default,"Python library to access the GitHub API v3 and Github Enterprise API v3."
aws-sdk,gem,default,"Amazon Web Services (AWS) SDK for Ruby."
aws_public_ips,gem,default,"A library/cli to fetch all public IP addresses associated with an AWS account"
ms-python.python,vscode,default,""
ms-vscode.Go,vscode,default,""
ms-vscode.PowerShell,vscode,default,""
ms-azuretools.vscode-docker,vscode,default,""
mauve.terraform,vscode,default,""
wayou.vscode-todo-highlight,vscode,default,""
Shan.code-settings-sync,vscode,default,""
443987910,mas,default,"1Password"
441258766,mas,default,"Magnet"
803453959,mas,default,"Slack"
1147396723,mas,default,"WhatsApp"
